algorithm,budget,mean_gap,std_gap,runs,sem_gap,ci95
rf_smbo,44,0.01377829785825905,0.023063087566054432,90,0.0024310628861547016,0.004764883256863215
random_search,45,0.05023240507275853,0.06884296526131183,90,0.0072566857035198055,0.014223103978898819
rf_smbo,45,0.013087804578861526,0.022688764698265227,90,0.002391605791404703,0.004687547351153218
random_search,46,0.04894665941549492,0.06576911595586139,90,0.006932673537208139,0.013588040132927953
rf_smbo,46,0.012877584378179872,0.022729467133682433,90,0.0023958962048125122,0.004695956561432524
random_search,47,0.04883210385648109,0.06564730075164477,90,0.006919833087242703,0.013562872850995698
rf_smbo,47,0.012864617663638228,0.022735940547624827,90,0.0023965785625556808,0.004697293982609135
random_search,48,0.04883210385648109,0.06564730075164477,90,0.006919833087242703,0.013562872850995698
rf_smbo,48,0.012834590611821906,0.022745462524128707,90,0.0023975822670083097,0.004699261243336287
random_search,49,0.04867327934831315,0.0654081552305613,90,0.006894624935947651,0.013513464874457396
rf_smbo,49,0.01232086267177876,0.021813081533881812,90,0.0022993006811341953,0.004506629335023023
random_search,50,0.04867327934831315,0.0654081552305613,90,0.006894624935947651,0.013513464874457396
rf_smbo,50,0.01125965495112138,0.020184891148675863,90,0.0021276743450796046,0.004170241716356025
