system,algorithm,budget,mean_best_found,std_best_found,mean_gap,std_gap,runs,optimum,worst
LLVM,random_search,24,61000.520000000004,2882.730919111251,0.16953375455196235,0.056077276742025346,30,52285.4,103691.8
LLVM,rf_smbo,24,56350.933333333334,2101.9536195764576,0.07908613194725427,0.040888948060483876,30,52285.4,103691.8
LLVM,random_search,25,60917.71333333333,2830.8534425009607,0.16792293047817647,0.05506811296844285,30,52285.4,103691.8
LLVM,rf_smbo,25,56124.746666666666,1981.676644998707,0.07468616099681488,0.03854922042778151,30,52285.4,103691.8
LLVM,random_search,26,60792.719999999994,2846.464492398027,0.16549145631672318,0.05537179208032516,30,52285.4,103691.8
LLVM,rf_smbo,26,55955.22,2016.4360901831485,0.07138838743813997,0.039225390032819815,30,52285.4,103691.8
LLVM,random_search,27,60769.65333333333,2833.250516782901,0.1650427443534916,0.055114742848806776,30,52285.4,103691.8
LLVM,rf_smbo,27,55795.1,2009.1262432657913,0.06827360017429734,0.03908319281773847,30,52285.4,103691.8
LLVM,random_search,28,60504.520000000004,2786.6544467861636,0.15988515048709884,0.05420831738433666,30,52285.4,103691.8
LLVM,rf_smbo,28,55731.99333333333,1954.6154224320437,0.06704599686679737,0.038022803044602295,30,52285.4,103691.8
LLVM,random_search,29,60422.21333333333,2670.898119867667,0.15828405282870092,0.05195652914554739,30,52285.4,103691.8
LLVM,rf_smbo,29,55618.63333333333,1935.1016974671463,0.06484082397003742,0.037643205855052014,30,52285.4,103691.8
LLVM,random_search,30,60329.26666666667,2593.9874879837184,0.15647597705084706,0.05046039963863877,30,52285.4,103691.8
LLVM,rf_smbo,30,55513.66,1898.1319602031954,0.06279879548071833,0.03692403981222563,30,52285.4,103691.8
LLVM,random_search,31,60103.1,2705.9465319538554,0.1520763951570232,0.05263831997482524,30,52285.4,103691.8
LLVM,rf_smbo,31,55470.34,1882.7370363383193,0.06195609885150485,0.036624564963473806,30,52285.4,103691.8
LLVM,random_search,32,60103.1,2705.9465319538554,0.1520763951570232,0.05263831997482524,30,52285.4,103691.8
LLVM,rf_smbo,32,55317.85333333334,1910.5624908754567,0.05898980152925184,0.03716584882184819,30,52285.4,103691.8
LLVM,random_search,33,60103.1,2705.9465319538554,0.1520763951570232,0.05263831997482524,30,52285.4,103691.8
LLVM,rf_smbo,33,55074.14666666666,1822.8355523333903,0.054249016983618094,0.03545931153189856,30,52285.4,103691.8
LLVM,random_search,34,59850.73333333333,2609.7851386436123,0.14716714909686987,0.05076770866358297,30,52285.4,103691.8
LLVM,rf_smbo,34,54875.706666666665,1475.7888520435756,0.050388797244441653,0.028708270799814327,30,52285.4,103691.8
LLVM,random_search,35,59850.73333333333,2609.7851386436123,0.14716714909686987,0.05076770866358297,30,52285.4,103691.8
LLVM,rf_smbo,35,54724.22666666667,1508.716981967844,0.0474420824385031,0.02934881613899913,30,52285.4,103691.8
LLVM,random_search,36,59807.853333333325,2599.3159465830468,0.1463330117131978,0.05056405324206802,30,52285.4,103691.8
LLVM,rf_smbo,36,54641.9,1483.2259108978033,0.045840595723489655,0.028852942647176298,30,52285.4,103691.8
LLVM,random_search,37,59807.853333333325,2599.3159465830468,0.1463330117131978,0.05056405324206802,30,52285.4,103691.8
LLVM,rf_smbo,37,54536.64666666666,1502.0909432804197,0.0437931204415533,0.02921992092969783,30,52285.4,103691.8
LLVM,random_search,38,59807.853333333325,2599.3159465830468,0.1463330117131978,0.05056405324206802,30,52285.4,103691.8
LLVM,rf_smbo,38,54459.78666666667,1546.6011071519627,0.04229797586811498,0.030085769615300104,30,52285.4,103691.8
LLVM,random_search,39,59733.706666666665,2579.3598782126796,0.14489064915393152,0.05017585122110632,30,52285.4,103691.8
LLVM,rf_smbo,39,54285.939999999995,1608.8663939299745,0.03891616608048801,0.03129700570220779,30,52285.4,103691.8
LLVM,random_search,40,59733.706666666665,2579.3598782126796,0.14489064915393152,0.05017585122110632,30,52285.4,103691.8
